,class,details
39,0520," mining of lignite This class excludes: - hard coal mining, see 0510 - peat digging, see 0892 - test drilling for coal mining, see 0990 - support activities for lignite mining, see 0990 - manufacture of lignite fuel briquettes, see 1920 #NAME? 4312 Opencast mining of lignite (brown coal) Belowground mining of lignite (brown coal) Washing, dehydrating, pulverizing, compressing of lignite Other operations relating to mining and agglomeration of lignite nan"
40,0610," extraction of crude petroleum This class excludes: - support activities for oil and gas extraction, see 0910 - oil and gas exploration, see 0910 - manufacture of refined petroleum products, see 1920 #NAME? 1920 - operation of pipelines, see 4930 Off shore extraction of crude petroleum On shore extraction of crude petroleum"
41,0620," extraction of natural gas This class excludes: - support activities for oil and gas extraction, see 0910 - oil and gas exploration, see 0910 #NAME? 1920 - manufacture of industrial gases, see 2011 - operation of pipelines, see 4930 Offshore Extraction of natural gas On shore Extraction of natural gas"
42,0710," mining of iron ores This class includes mining of ores valued chiefly for iron content, beneficiation and agglomeration of iron ores This class excludes: #NAME? 891 Mining of iron ores"
43,0721," mining of uranium and thorium ores This class includes mining of ores chiefly valued for uranium and thorium content (pitchblende etc.), concentration of such ores, production of yellowcake This class excludes: - enrichment of uranium and thorium ores, see 2011 - production of uranium metal from pitchblende or other ores, see 2420 - smelting and refining of uranium, see 2420 Mining of uranium and thorium ores"
44,0729," mining of other non-ferrous metal ores This class excludes: - mining and preparation of uranium and thorium ores, see 0721 #NAME? 2420 Mining of copper ore Mining of aluminium ore (bauxite) Mining of manganese ore Mining of chromium ore Mining of precious metal ore (gold, silver) Mining of lead and znic ore Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous metal ores] nan"
45,0810," quarrying of stone, sand and clay This class excludes: - mining of bituminous sand, see 0610 - mining of chemical and fertilizer minerals, see 0891 - production of calcined dolomite, see 2394 - cutting, shaping and finishing of stone outside quarries, see 2396 Quarrying of marble Quarrying of granite Quarrying of slate and building and monumental stone other than marble and granite Mining of dolomite Mining of gypsum including selenite Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction Mining/quarrying of limestone, limeshell, â€˜kankarâ€™ and other calcareous minerals including calcite, chalk and shale Mining of clays (kaolin, ball clay, wollastonite, bentonite, fullerâ€™s earth, fire clay etc. ) Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)"
46,0891," mining of chemical and fertilizer minerals This class excludes: - extraction of salt, see 0893 - roasting of iron pyrites, see 2011 - manufacture of synthetic fertilizers and nitrogen compounds, see 2012 Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur Mining of natural phosphates including apatite minerals Mining of earth colours (ochre including red oxide). Mining of fluorspar Mining of barytes Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c."
47,0892," extraction and agglomeration of peat This class excludes: - service activities incidental to peat mining, see 0990 - manufacture of articles of peat, see 2399 Extraction and agglomeration of peat"
48,0893," extraction of salt This class excludes: - processing of salt into food-grade salt, e.g. iodized salt, see 1079 - potable water production by evaporation of saline water, see 3600 Salt mining, quarrying, screening etc. Salt production by evaporation of sea water or other saline waters"
49,0899," other mining and quarrying n.e.c. Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/ saphire etc. Mining and quarrying of abrasive materials (pumice stone, emery, corundum, garnet and other natural abrasives) Mining of mica Mining of natural graphite Mining of asbestos Mining of vermiculite, perlite and chlorites Mining of felspar and silica minerals including quartz, quartzite and fuch. Quartzite Mining of talc/ steatite Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other natural fluxes; natural asphalt or bitumen and other mining n.e.c. nan"
50,0910," Support activities for petroleum and natural gas mining This class excludes: - service activities performed by operators of oil or gas fields, see 0610, 620 - specialized repair of mining machinery, see 3312 #NAME? off the mine site, see 5221 - geophysical, geologic and seismic surveying, see 7110 Services incidental to off shore oil extraction Services incidental to on shore oil extraction Services incidental to off shore gas extraction Services incidental to on shore gas extraction"
51,0990," Support activities for other mining and quarrying This class includes support services on a fee or contract basis, required for mining activities of divisions 05, 07 and 08 (exploration services, e.g. traditional prospecting methods, such as taking core samples and making geological observations at prospective sites, draining and pumping services, on a fee or contract basis, test drilling and test hole boring) This class excludes: - operating mines or quarries on a contract or fee basis, see division 05, 07 or 08 - specialized repair of mining machinery, see 3312 - geophysical surveying services, on a contract or fee basis, see 7110 Support activities for other mining and quarrying"
52,1010," processing and preserving of meat This class includes non edible by products This class excludes: - manufacture of prepared frozen meat and poultry dishes, see 1075 - manufacture of soup containing meat, see 1079 - wholesale trade of meat, see 4630 - packaging of meat, see 8292 Mutton-slaughtering, preparation Beef-slaughtering, preparation Pork-slaughtering, preparation Poultry and other slaughtering, preparation Preservation, Processing and canning of meat Production of hides and skins originating from slaughterhouses Rendering of lard and other edible fats of animal origin Production and processing of animal offal Production, processing and preserving of other meat and meat products n.e.c."
53,1020," Processing and preserving of fish, crustaceans and molluscs and products thereof This class excludes: - processing of whales on land or specialized vessels, see 1010 - production of oils and fats from marine material, see 1040 - manufacture of prepared frozen fish dishes, see 1075 - manufacture of fish soups, see 1079 Sun-drying of fish Artificial dehydration of fish and sea food Radiation preservation of fish and similar food Processing and preserving of fish crustacean and similar foods Processing and canning of fish Processing and canning of frog legs Production of fishmeal for human consumption or animal feed Production, processing and preservation of other fish products n.e.c."
54,1030," processing and preserving of fruit and vegetables This class excludes: - manufacture of flour or meal of dried leguminous vegetables, see 1061 - preservation of fruit and nuts in sugar, see 1073 - manufacture of prepared vegetable dishes, see 1075 - manufacture of artificial concentrates, see 1079 Sun-drying of fruit and vegetables Artificial dehydration of fruit and vegetables Radiation preservation of fruit and vegetables Manufacture of fruit or vegetable juices and their concentrates, squashes and powder Manufacture of sauces, jams, jellies and marmalades Manufacture of pickles, chutney etc. Canning of fruits and vegetables Manufacture of potato flour & meals and prepared meals of vegetables Preservation of fruit and vegetables n.e.c."
55,1040," manufacture of vegetable and animal oils and fats This class excludes: - rendering and refining of lard and other edible animal fats, see 1010 - wet corn milling, see 1062 - production of essential oils, see 2029 - treatment of oil and fats by chemical processes, see 2029 Manufacture of hydrogenated oil and vanaspati ghee Manufacture of vegetable oils and fats excluding corn oil Manufacture of edible animal oils and fats Manufacture of fish oil Manufacture of non-edible animal oil and fats Manufacture of oil cakes & meals incl. residual products, e.g. Oleostearin,Palmstearin Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels Manufacture of other vegetable oil, animal oil and fats n.e.c"
56,1050," manufacture of dairy products This class excludes: - production of raw milk (cattle), see 0141 - production of raw milk (camels, etc.), see 0143 - production of raw milk (sheep, goats, horses, asses, etc.), see 0144 - manufacture of non-dairy milk and cheese substitutes, see 1079 - activities of ice cream parlours, see 5610 Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured) Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food Manufacture of baby milk foods Manufacture of cream, butter, cheese, curd, ghee, khoya etc. Manufacture of ice-cream, kulfi etc. Manufacture of other dairy products n.e.c."
57,1061," manufacture of grain mill products This class excludes: - manufacture of potato flour and meal, see 1030 - wet corn milling, see 1062 Flour milling Rice milling Dal (pulses) milling Grain milling other than wheat, rice and dal Vegetable milling (production of flour or meal of dried leguminous vegetables(except dal), of roots or tubers, or of edible nuts) Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits Manufacture of other readymade mixed powders like idli, gulabjamun etc. Other grain milling and processing n.e.c."
58,1062," manufacture of starches and starch products This class excludes: - manufacture of lactose (milk sugar), see 1050 - production of cane or beet sugar, see 1072 Manufacture of starches from rice, potatoes, maize etc. Manufacture of sago and sago products Manufacture of glucose, glucose syrup, maltose etc. Manufacture of gluten Manufacture of tapioca and tapioca substitutes prepared from starch Manufacture of corn oil Manufacture of other starch products n.e.c."
59,1071," manufacture of bakery products This class excludes: - manufacture of farinaceous products (pastas), see 1074 - manufacture of potato snacks, see 1030 - heating up of bakery items for immediate consumption, see division 56 Manufacture of bread Manufacture of biscuits, cakes, pastries, rusks etc. Manufacture of other bakery products n.e.c."
60,1072," manufacture of sugar This class excludes: - manufacture of glucose, glucose syrup, maltose, see 1062 Manufacture or refining of sugar (sucrose) from sugercane Manufacture of `gurâ€™ from sugarcane Manufacture of `gurâ€™ from other than sugarcane Manufacture of `khandsariâ€™ sugar from sugarcane Manufacture of `khandsariâ€™ suger from other than sugarcane Manufacture of `booraâ€™ and candy from sugarcane Manufacture of `booraâ€™ and candy from other than sugarcane Manufacture of molasses Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
61,1073," manufacture of cocoa, chocolate and sugar confectionery This class excludes: - manufacture of sucrose sugar, see 1072 Manufacture of cocoa products Manufacture of chocolate and chocolate confectionery Manufacture of sugar confectionery (except sweetmeats) Manufacture sweetmeats includind dairy based sweetmeats Manufacture of chewing gum Preserving in sugar of fruit, nuts, fruit peels and other parts of plants Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
62,1074," manufacture of macaroni, noodles, couscous and similar farinaceous products This class includes manufacture of pastas such as macaroni and noodles, whether or not cooked or stuffed, manufacture of couscous, manufacture of canned or frozen pasta products This class excludes: - manufacture of soup containing pasta, see 1079 Manufacture of macaroni, noodles, couscous and similar farinaceous products"
63,1075," manufacture of prepared meals and dishes This class includes manufacture of ready-made (i.e. prepared, seasoned and cooked) meals and dishes, in frozen or canned form. These dishes are usually packaged and labeled for re-sale, i.e. this class does not include the preparation of meals for immediate consumption, such as in restaurants This class excludes: - wholesale of prepared meals and dishes, see 4630 - retail sale of prepared meals and dishes in stores, see 4711, 4721 - activities of food service contractors, see 5629 Manufacture of prepared meals and dishes"
64,1079," manufacture of other food products n.e.c. This class excludes: - growing of spice crops, see 0128 - manufacture of inulin, see 1062 - manufacture of frozen pizza, see 1075 - manufacture of spirits, beer, wine and soft drinks, see division 11 - preparation of botanical products for pharmaceutical use, see 2100 Processing and blending of tea including manufacture of instant tea Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products Processing of edible nuts Manufacture of malted foods including foods for infants and handicapped Grinding and processing of spices Manufacture of papads, appalam and similar food products Manufacture of vitaminised high protein flour, frying of dal and other cereals Processing of salt into food-grade salt, e.g. iodized salt Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
65,1080," manufacture of prepared animal feeds This class excludes: - production of fishmeal for animal feed, see 1020 - production of oilseed cake, see 1040 #NAME? treatment, e.g. oilseeds (see 1040), grain milling residues (see 1061) etc. Manufacture of cattle feed Manufacture of poultry feed Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc. Manufacture of other animal feeds n.e.c."
66,1101," Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials This class excludes: - manufacture of ethyl alcohol, see 2011 - manufacture of non-distilled alcoholic beverages, see 1102, 1103 - merely bottling and labeling, see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis) Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, â€œmixed drinksâ€� etc. Manufacture of country liquor Distilling, rectifying and blending of spirits"
67,1102," manufacture of wines This class excludes: - manufacture of vinegar, see 1079 - merely bottling and labeling, see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis)Sub class Description Manufacture of wines"
68,1103, manufacture of malt liquors and malt Manufacture of beer Manufacture of malt liquors other than beer Manufacture of malt Manufacture of malt liquors and malt n.e.c.
69,1104," manufacture of soft drinks; production of mineral waters and other bottled waters This class excludes: - production of fruit and vegetable juice, see 1030 - manufacture of milk-based drinks, see 1050 - manufacture of coffee, tea and matÃ© products, see 1079 - manufacture of non-alcoholic wine, see 1102 - manufacture of non-alcoholic beer, see 1103 - merely bottling and labeling, see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis) Manufacture of aerated drinks Manufacture of synthetic flavoured concentrates and syrups Manufacture of mineral water Manufacture of ice Manufacture of soft drinks Manufacture of other non-alcoholic beverages n.e.c. nan"
70,1200," manufacture of tobacco products This class excludes: - growing or preliminary processing of tobacco, see 0115, 0163 Stemming and redrying of tobacco Manufacture of bidi Manufacture of cigarettes, cigarette tobacco Manufacture of cigars and cheroots Manufacture of snuff Manufacture of zarda Manufacture of catechu(katha) and chewing lime Manufacture of pan masala and related products. Manufacture of other tobacco products including chewing tobacco n.e.c."
71,1311," Preparation and spinning of textile fibres This class excludes: #NAME? farming, see 01 #NAME? 116 - cotton ginning, see 0163 #NAME? yarns (including high-tenacity yarn and yarn for carpets) of synthetic or artificial fibres, see 2030 - manufacture of glass fibres, see 2310 Preparation and spinning of cotton fiber including blended* cotton Preparation and spinning of silk fiber including blended* silk Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair Preparation and spinning of man-made fiber including blended* man-made fiber Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber."
72,1312," Weaving of textiles This class excludes: - manufacture of textile floor coverings, see 1393 - manufacture of non-woven fabrics and felts, see 1399 - manufacture of narrow fabrics, see 1399 - manufacture of knitted and crocheted fabrics, see 1391 Weaving, manufacture of cotton and cotton mixture fabrics. Weaving, manufacture of silk and silk mixture fabrics. Weaving, manufacture of wool and wool mixture fabrics. Weaving, manufacturing of man-made fiber and man-made mixture fabrics. Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
73,1313," Finishing of textiles This class includes bleaching, dyeing, dressing, drying, steaming, shrinking, printing if not self produced textile fibres, mending of textile fibres, yarns, fabrics and textile articles including wearing apparel. This class also includes waterproofing, coating, rubberizing purchsed garments This class excludes: #NAME? with rubber, where rubber is the chief constituent, see 2219 Finishing of cotton and blended cotton textiles. Finishing of silk and blended silk textiles. Finishing of wool and blended wool textiles. Finishing of man-made and blended man-made textiles. Finishing of jute, mesta and other vegetable textiles fabrics Activity related to screen printing Other activities relating to finishing of textile n.e.c."
74,1391," manufacture of knitted and crocheted fabrics This class excludes: #NAME? Raschel or similar machines, see 1399 - manufacture of knitted and crocheted apparel, see 1430 Manufacture of knitted and crocheted cotton fabrics Manufacture of knitted and crocheted woolen fabrics Manufacture of knitted and crocheted synthetic fabrics Manufacture of other knitted and crocheted fabrics"
75,1392," manufacture of made-up textile articles, except apparel This class excludes: - manufacture of textile articles for technical use, see 1399 Manufacture of curtains, bed covers and furnishings Manufacture of crocheted made up textile goods except apparel Manufacture of mosquito nets Manufacture of bedding, quilts pillows, sleeping bags etc. Manufacture of tarpaulin Manufacture of blankets Manufacture of other made-up textile articles, except apparel n.e.c."
76,1393," manufacture of carpets and rugs This class excludes: - manufacture of mats and matting of plaiting materials, see 1629 - manufacture of floor coverings of cork, see 1629 - manufacture of resilient floor coverings, such as vinyl, linoleum, see 2220 Manufacture of carpets and other floor coverings made of cotton Manufacture of carpets and other floor coverings made of wool Manufacture of carpets and other floor coverings made of silk Manufacture of carpets made of synthetic materials Manufacture of carpets, and other floor coverings made of jute, mesta and coir Manufacture of other floor coverings n.e.c."
77,1394," manufacture of cordage, rope, twine and netting This class excludes: - manufacture of hairnets, see 1410 - manufacture of wire rope, see 2599 Manufacture of thread, including thread ball making Manufacture of cordage or rope made of jute Manufacture of cordage or rope made of coir Manufacture of rope and cordage made of synthetic material Manufacture of knotted netting of twine, cordage orrope (other than mosquito net) Manufacture of tapes, newar and wicks Manufacture of other cordage or rope n.e.c."
78,1399," manufacture of other textiles n.e.c. This class includes all activities related to textiles or textile products, not specified elsewhere in division 12 or 13, This class excludes: - manufacture of needle-loom felt floor coverings, see 1392 - manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc., see 1709 #NAME? cord impregnated, coated, covered or laminated with rubber, where rubber is the chief constituent, see 2219 #NAME? textiles for reinforcing purposes only, see 2219, 2220 - manufacture of cloth of woven metal wire, see 2599 Embroidery work and making of laces and fringes Zari work and other ornamental trimmings Manufacture of linolium and similar products Manufacture of gas mantles Manufacture of made-up canvas goods such tents, sails etc. Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic Manufacture of waterproof textile excluding tarpulin Manufacture of other textiles/textile products n.e.c."
79,1410," manufacture of wearing apparel, except fur apparel This class excludes: - manufacture of wearing apparel of fur skins (except headgear), see 1420 - manufacture of footwear, see 1520 #NAME? stitching but merely sealed together, see 2219, 2220 - manufacture of leather sports gloves and sports headgear, see 3230 - manufacture of safety headgear (except sports headgear), see 3290 - manufacture of fire-resistant and protective safety clothing, see 3290 - repair of wearing apparel, see 9529 Manufacture of all types of textile garments and clothing accessories Manufacture of rain coats of waterproof textile fabrics or plastic sheetings Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc. Manufacture of wearing apparel made of leather and substitutes of leather Custom tailoring Manufacture of wearing apparel n.e.c."
