,group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
161,,,1461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and",,,,,,,,
162,,,,"guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls",,,,,,,,
163,,,1462,Production of eggs,,,,,,,,
164,,,1463,Operation of poultry hatcheries,,,,,,,,
165,,149,,raising of other animals,,,,,,,,
166,,,,This class excludes:,,,,,,,,
167,,,,#NAME?,,,,,,,,
168,,,170,170,,,,,,,,
169,,,,"- operation of frog farms, crocodile farms, marine worm farms, see 0321,",,,,,,,,
170,,,322,322,,,,,,,,
171,,,,"- operation of fish farms, see 0321, 0322",,,,,,,,
172,,,,"- training of pet animals, see 9609",,,,,,,,
173,,,1491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)",,,,,,,,
174,,,1492,Bee-keeping and production of honey and beeswax,,,,,,,,
175,,,1493,"Raising of silk worms, production of silk worm cocoons",,,,,,,,
176,,,1499,"Raising of other animals, n.e.c.",,,,,,,,
177,15,,,mixed farming,,,,,,,,
178,,150,,mixed farming,,,,,,,,
179,,,,This class includes the combined production of crops and animals without a,,,,,,,,
180,,,,specialized production of crops or animals. The size of the overall farming,,,,,,,,
181,,,,operation is not a determining factor. If either production of crops or animals,,,,,,,,
182,,,,"in a given unit exceeds 66 per cent or more of standard gross margins, the",,,,,,,,
183,,,,"combined activity should not be included here, but allocated to crop or",,,,,,,,
184,,,,animal farming.,,,,,,,,
185,,,,This class excludes:,,,,,,,,
186,,,,"- mixed crop farming, see groups 011 and 012",,,,,,,,
187,,,,"- mixed animal farming, see group 014",,,,,,,,
188,,,1500,Mixed farming,,,,,,,,
189,16,,,Support activities to agriculture and post-harvest crop activities,,,,,,,,
190,,161,,Support activities for crop production,,,,,,,,
191,,,,This class excludes:,,,,,,,,
192,,,,"- post-harvest crop activities, see 0163",,,,,,,,
193,,,,"- activities of agronomists and agricultural economists, see 7490",,,,,,,,
194,,,,"- landscape architecture, see 7110",,,,,,,,
195,,,,"- landscape gardening, planting, see 8130",,,,,,,,
196,,,,"- maintenance of land to keep it in good ecological condition, see 8130",,,,,,,,
197,,,,"- organization of agricultural shows and fairs, see 8230",,,,,,,,
198,,,,,,,,,,,,
199,,,1611,"Agricultural activities on a fee or contract basis (preparation of fields,",,,,,,,,
200,,,,"establishing a crop, treatment of crops, crop spraying, trimming of fruit trees",,,,,,,,
201,,,,"and vines, transplanting of rice, thinning of beets, harvesting, pest control in",,,,,,,,
202,,,,connection with agriculture etc.),,,,,,,,
203,,,1612,Operation of agricultural irrigation equipment,,,,,,,,
204,,,1619,Other supporting activities including agricultural gardening (excluding,,,,,,,,
205,,,,"parks and gardening activities),n.e.c.",,,,,,,,
206,,162,,Support activities for animal production,,,,,,,,
207,,,,This class includes agricultural activities on a fee or contract basis such,,,,,,,,
208,,,,"as activities to promote propagation, growth and output of animals, herd",,,,,,,,
209,,,,"testing services, droving services, agistment services, poultry caponizing,",,,,,,,,
210,,,,"coop cleaning etc. activities related to artificial insemination, stud services,",,,,,,,,
211,,,,"sheep shearing, farm animal boarding and care, activities of farriers",,,,,,,,
212,,,,This class excludes:,,,,,,,,
213,,,,"- provision of space for animal boarding only, see 6810",,,,,,,,
214,,,,"- veterinary activities, see 7500",,,,,,,,
215,,,,"- vaccination of animals, see 7500",,,,,,,,
216,,,,"- renting of animals (e.g. herds), see 7730",,,,,,,,
217,,,,"- service activities to promote commercial hunting and trapping, see 9499",,,,,,,,
218,,,,"- pet boarding, see 9609",,,,,,,,
219,,,1620,Support activities for animal production,,,,,,,,
220,,163,,post-harvest crop activities,,,,,,,,
221,,,,This class excludes:,,,,,,,,
222,,,,#NAME?,,,,,,,,
223,,,,class in groups 011 or 012,,,,,,,,
224,,,,"- stemming and redrying of tobacco, see 1200",,,,,,,,
225,,,,"- marketing activities of commission merchants and cooperative associations,",,,,,,,,
226,,,,see division 46,,,,,,,,
227,,,,"- wholesale of agricultural raw materials, see 4620",,,,,,,,
228,,,1631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading,",,,,,,,,
229,,,,disinfecting,,,,,,,,
230,,,1632,"Cotton ginning, cleaning and bailing",,,,,,,,
231,,,1633,Preparation of tobacco leaves,,,,,,,,
232,,,1639,"Other post harvest crop activities, n.e.c.",,,,,,,,
233,,164,,Seed processing for propagation,,,,,,,,
234,,,,This class includes all post-harvest activities aimed at improving the,,,,,,,,
235,,,,"propagation quality of seed through the removal of non-seed materials,",,,,,,,,
236,,,,"undersized, mechanically or insect-damaged and immature seeds as well as",,,,,,,,
237,,,,removing the seed moisture to a safe level for seed storage. This activity,,,,,,,,
238,,,,"includes the drying, cleaning, grading and treating of seeds until they are",,,,,,,,
239,,,,marketed. The treatment of genetically modified seeds is included here.,,,,,,,,
240,,,,This class excludes:,,,,,,,,
241,,,,"- growing of seeds, see groups 011 and 012",,,,,,,,
242,,,,"- processing of seeds to obtain oil, see 1040",,,,,,,,
243,,,,"- research to develop or modify new forms of seeds, see 7210",,,,,,,,
244,,,1640,Seed processing for propagation,,,,,,,,
245,17,,,"hunting, trapping and related service activities",,,,,,,,
246,,170,,"hunting, trapping and related service activities",,,,,,,,
247,,,,"This class includes taking of animals (dead or alive) for food, fur, skin, or",,,,,,,,
248,,,,"for use in research, in zoos or as pets, production of fur skins, reptile or bird",,,,,,,,
249,,,,skins from hunting or trapping activities,,,,,,,,
250,,,,This class excludes:,,,,,,,,
251,,,,#NAME?,,,,,,,,
252,,,,group 014,,,,,,,,
253,,,,"- raising of game animals on ranching operations, see 0149",,,,,,,,
254,,,,"- catching of whales, see 0311",,,,,,,,
255,,,,"- production of hides and skins originating from slaughterhouses, see 1010",,,,,,,,
256,,,,"- hunting for sport or recreation and related service activities, see 9319",,,,,,,,
257,,,,"- service activities to promote hunting and trapping, see 9499",,,,,,,,
258,,,1700,"Hunting, trapping and related service activities",,,,,,,,
259,,,,DiviSion 02 : ForeStry anD loGGinG,,,,,,,,
260,21,,,Silviculture and other forestry activities,,,,,,,,
261,,210,,Silviculture and other forestry activities,,,,,,,,
262,,,,This class excludes:,,,,,,,,
263,,,,"- growing of Christmas trees, see 0129",,,,,,,,
264,,,,"- operation of tree nurseries, see 0130",,,,,,,,
265,,,,"- gathering of wild growing non-wood forest products, see 0230",,,,,,,,
266,,,,"- production of wood chips and particles, see 1610",,,,,,,,
267,,,2101,"Growing of standing timber (planting, replanting, transplanting, thinning",,,,,,,,
268,,,,and conserving of forests and timber tracts),,,,,,,,
269,,,2102,Operation of forest tree nurseries,,,,,,,,
270,,,2109,"Other foresty activities including growing of pulpwood,firewood etc",,,,,,,,
271,22,,,logging,,,,,,,,
272,,220,,logging,,,,,,,,
273,,,,This class excludes:,,,,,,,,
274,,,,"- growing of Christmas trees, see 0129",,,,,,,,
275,,,,#NAME?,,,,,,,,
276,,,,"and conserving of forests and timber tracts, see 0210",,,,,,,,
277,,,,"- gathering of wild growing non-wood forest products, see 0230",,,,,,,,
278,,,,"- production of wood chips and particles, see 1610",,,,,,,,
279,,,,"- production of charcoal through distillation of wood, see 2011",,,,,,,,
280,,,2201, Gathering and preparation of fire wood,,,,,,,,
281,,,2202, Logging camps and loggers primarily engaged in felling timber and,,,,,,,,
282,,,,"producing wood in the rough such as pitprops, split poles, pickets, hewn",,,,,,,,
283,,,,railway ties,,,,,,,,
284,,,2203, Production of charcoal in the forest (using traditional methods),,,,,,,,
285,,,2209," Other logging activities, n.e.c.",,,,,,,,
286,23,,,Gathering of non-wood forest products,,,,,,,,
287,,230,,Gathering of non-wood forest products,,,,,,,,
288,,,,This class excludes:,,,,,,,,
289,,,,- managed production of any of these products (except growing of cork,,,,,,,,
290,,,,"trees), see division 01",,,,,,,,
291,,,,"- growing of mushrooms or truffles, see 0113",,,,,,,,
292,,,,"- growing of berries or nuts, see 0125",,,,,,,,
293,,,,"- gathering of fire wood, see 0220",,,,,,,,
294,,,,"- production of wood chips, see 1610",,,,,,,,
295,,,2301, Gathering of tendu leaves,,,,,,,,
296,,,2302," Gathering of lac, resins and rubber-like gums",,,,,,,,
297,,,2303," Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,",,,,,,,,
298,,,,"vegetable hair, eelgrass, mosses, lichens",,,,,,,,
299,,,2309," Gathering of non-wood forest products, n.e.c.",,,,,,,,
300,24,,,Support services to forestry,,,,,,,,
301,,240,,Support services to forestry,,,,,,,,
302,,,,This class excludes:,,,,,,,,
303,,,,"- operation of forest tree nurseries, see 0210",,,,,,,,
304,,,2401," Forestry service activities (forest management consulting services, forestry",,,,,,,,
305,,,,"inventories, timber evaluation, forest pest control)",,,,,,,,
306,,,2402,Logging service activities such as transport of logs within the forest,,,,,,,,
307,,,,DiviSion 03 : FiShinG anD aquaCulture,,,,,,,,
308,31,,,Fishing,,,,,,,,
309,,311,,Marine fishing,,,,,,,,
310,,,,This class excludes:,,,,,,,,
311,,,,#NAME?,,,,,,,,
312,,,170,170,,,,,,,,
313,,,,#NAME?,,,,,,,,
314,,,,"ashore, see 1020",,,,,,,,
315,,,,- rental of pleasure boats with crew for sea and coastal water transport (e.g.,,,,,,,,
316,,,,"for fishing cruises), see 5011",,,,,,,,
317,,,,"- fishing inspection, protection and patrol services, see 8423",,,,,,,,
318,,,,"- fishing practiced for sport or recreation and related services, see 9319",,,,,,,,
319,,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
320,,,3111,Fishing on a commercial basis including taking of marine crustaceans and,,,,,,,,
321,,,,molluscs in ocean and coastal waters,,,,,,,,
322,,,3112,"Gathering of other marine organisms and materials such as natural pearls,",,,,,,,,
323,,,,"sponges, coral and algae",,,,,,,,
324,,,3113,Activities of vessels engaged in fishing and in processing and preserving of,,,,,,,,
325,,,,fish,,,,,,,,
326,,312,,Freash water fishing,,,,,,,,
327,,,,This class excludes:,,,,,,,,
328,,,,"- processing of fish, crustaceans and molluscs, see 1020",,,,,,,,
329,,,,"- fishing inspection, protection and patrol services, see 8423",,,,,,,,
330,,,,"- fishing practiced for sport or recreation and related services, see 9319",,,,,,,,
331,,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
332,,,3121,Fishing and taking of freshwater crustaceans and molluscs on a commercial,,,,,,,,
333,,,,basis in inland waters,,,,,,,,
334,,,3122,Taking and gathering of freshwater aquatic animals,,,,,,,,
335,32,,,aquaculture,,,,,,,,
336,,321,,marine aquaculture,,,,,,,,
337,,,,This class excludes:,,,,,,,,
338,,,,"- frog farming, see 0322",,,,,,,,
339,,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
340,,,3211,Fish farming in sea water including farming of marine ornamental fish,,,,,,,,
341,,,3212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals",,,,,,,,
342,,,,in sea water,,,,,,,,
343,,,3213,Growing of edible seaweeds,,,,,,,,
344,,,3214,Aquaculture activities in brackish waters and in salt water filled tanks or,,,,,,,,
345,,,,reservoirs,,,,,,,,
346,,,3215,Operation of fish hatcheries (marine),,,,,,,,
347,,,3219,"Other marine aquaculture, n.e.c.",,,,,,,,
348,,322,,Freshwater aquaculture,,,,,,,,
349,,,,This class excludes:,,,,,,,,
350,,,,"- aquaculture activities in salt water filled tanks and reservoirs, see 0321",,,,,,,,
351,,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
352,,,3221,Fish farming in freshwater including farming of freshwater ornamental fish,,,,,,,,
353,,,3222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic",,,,,,,,
354,,,,animals,,,,,,,,
355,,,3223,Operation of fish hatcheries (fresh-water),,,,,,,,
356,,,3229,"Other freshwater aquaculture ctivities, n.e.c.",,,,,,,,
357,,,,SECTION B : MINING AND QUARRYING,,,,,,,,
358,,,DiviSion 05 : mininG oF Coal anD liGnite,,,,,,,,,
359,51,,,mining of hard coal,,,,,,,,
360,,510,,mining of hard coal,,,,,,,,
361,,,,This class excludes:,,,,,,,,
362,,,,"- lignite mining, see 0520",,,,,,,,
363,,,,"- peat digging and agglomeration of peat, see 0892",,,,,,,,
364,,,,"- test drilling for coal mining, see 0990",,,,,,,,
365,,,,"- support activities for hard coal mining, see 0990",,,,,,,,
366,,,,"- coke ovens producing solid fuels, see 1910",,,,,,,,
367,,,,"- manufacture of hard coal briquettes, see 1920",,,,,,,,
368,,,,#NAME?,,,,,,,,
369,,,4312,4312,,,,,,,,
370,,,5101,Opencast mining of hard coal,,,,,,,,
371,,,5102,Belowground mining of hard coal,,,,,,,,
372,,,5103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal",,,,,,,,
373,,,5109,Other operations relating to mining and agglomeration of hard coal,,,,,,,,
374,52,,,mining of lignite,,,,,,,,
375,,520,,mining of lignite,,,,,,,,
376,,,,This class excludes:,,,,,,,,
377,,,,"- hard coal mining, see 0510",,,,,,,,
378,,,,"- peat digging, see 0892",,,,,,,,
379,,,,"- test drilling for coal mining, see 0990",,,,,,,,
380,,,,"- support activities for lignite mining, see 0990",,,,,,,,
381,,,,"- manufacture of lignite fuel briquettes, see 1920",,,,,,,,
382,,,,#NAME?,,,,,,,,
383,,,4312,4312,,,,,,,,
384,,,5201,Opencast mining of lignite (brown coal),,,,,,,,
385,,,5202,Belowground mining of lignite (brown coal),,,,,,,,
386,,,5203,"Washing, dehydrating, pulverizing, compressing of lignite",,,,,,,,
387,,,5209,Other operations relating to mining and agglomeration of lignite,,,,,,,,
388,,,Division 06 : extraction of crude petroleum and natural gas,,,,,,,,,
389,61,,,extraction of crude petroleum,,,,,,,,
390,,610,,extraction of crude petroleum,,,,,,,,
391,,,,This class excludes:,,,,,,,,
392,,,,"- support activities for oil and gas extraction, see 0910",,,,,,,,
393,,,,"- oil and gas exploration, see 0910",,,,,,,,
394,,,,"- manufacture of refined petroleum products, see 1920",,,,,,,,
395,,,,#NAME?,,,,,,,,
396,,,1920,1920,,,,,,,,
397,,,,"- operation of pipelines, see 4930",,,,,,,,
398,,,6101,Off shore extraction of crude petroleum,,,,,,,,
399,,,6102,On shore extraction of crude petroleum,,,,,,,,
400,62,,,extraction of natural gas,,,,,,,,
401,,620,,extraction of natural gas,,,,,,,,
402,,,,This class excludes:,,,,,,,,
403,,,,"- support activities for oil and gas extraction, see 0910",,,,,,,,
404,,,,"- oil and gas exploration, see 0910",,,,,,,,
405,,,,#NAME?,,,,,,,,
406,,,1920,1920,,,,,,,,
407,,,,"- manufacture of industrial gases, see 2011",,,,,,,,
408,,,,"- operation of pipelines, see 4930",,,,,,,,
409,,,6201,Offshore Extraction of natural gas,,,,,,,,
410,,,6202,On shore Extraction of natural gas,,,,,,,,
411,,,,DiviSion 07 : mininG oF metal oreS,,,,,,,,
412,71,,,mining of iron ores,,,,,,,,
413,,710,,mining of iron ores,,,,,,,,
414,,,,"This class includes mining of ores valued chiefly for iron content, beneficiation",,,,,,,,
415,,,,and agglomeration of iron ores,,,,,,,,
416,,,,This class excludes:,,,,,,,,
417,,,,#NAME?,,,,,,,,
418,,,891,891,,,,,,,,
419,,,7100,Mining of iron ores,,,,,,,,
420,72,,,mining of non-ferrous metal ores,,,,,,,,
421,,721,,mining of uranium and thorium ores,,,,,,,,
422,,,,This class includes mining of ores chiefly valued for uranium and thorium,,,,,,,,
423,,,,"content (pitchblende etc.), concentration of such ores, production of",,,,,,,,
424,,,,yellowcake,,,,,,,,
425,,,,This class excludes:,,,,,,,,
426,,,,"- enrichment of uranium and thorium ores, see 2011",,,,,,,,
427,,,,"- production of uranium metal from pitchblende or other ores, see 2420",,,,,,,,
428,,,,"- smelting and refining of uranium, see 2420",,,,,,,,
429,,,7210,Mining of uranium and thorium ores,,,,,,,,
430,,729,,mining of other non-ferrous metal ores,,,,,,,,
431,,,,This class excludes:,,,,,,,,
432,,,,"- mining and preparation of uranium and thorium ores, see 0721",,,,,,,,
433,,,,#NAME?,,,,,,,,
434,,,2420,2420,,,,,,,,
435,,,7291,Mining of copper ore,,,,,,,,
436,,,7292,Mining of aluminium ore (bauxite),,,,,,,,
437,,,7293,Mining of manganese ore,,,,,,,,
438,,,7294,Mining of chromium ore,,,,,,,,
439,,,7295,"Mining of precious metal ore (gold, silver)",,,,,,,,
440,,,7296,Mining of lead and znic ore,,,,,,,,
441,,,7299,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and",,,,,,,,
442,,,,"rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores;",,,,,,,,
443,,,,"and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous",,,,,,,,
444,,,,metal ores],,,,,,,,
445,,,DiviSion 08 : other mininG anD quarryinG,,,,,,,,,
446,81,,,"quarrying of stone, sand and clay",,,,,,,,
447,,810,,"quarrying of stone, sand and clay",,,,,,,,
448,,,,This class excludes:,,,,,,,,
449,,,,"- mining of bituminous sand, see 0610",,,,,,,,
450,,,,"- mining of chemical and fertilizer minerals, see 0891",,,,,,,,
451,,,,"- production of calcined dolomite, see 2394",,,,,,,,
452,,,,"- cutting, shaping and finishing of stone outside quarries, see 2396",,,,,,,,
453,,,8101,Quarrying of marble,,,,,,,,
454,,,8102,Quarrying of granite,,,,,,,,
455,,,8103,Quarrying of slate and building and monumental stone other than marble,,,,,,,,
456,,,,and granite,,,,,,,,
457,,,8104,Mining of dolomite,,,,,,,,
458,,,8105,Mining of gypsum including selenite,,,,,,,,
459,,,8106,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing",,,,,,,,
460,,,,"and breaking of stone for use as a flux or raw material in lime or cement,",,,,,,,,
461,,,,"manufacture or as building material, road metal or ballast and other materials",,,,,,,,
462,,,,for construction,,,,,,,,
463,,,8107,"Mining/quarrying of limestone, limeshell, ‘kankar’ and other calcareous",,,,,,,,
464,,,,"minerals including calcite, chalk and shale",,,,,,,,
465,,,8108,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller’s earth, fire",,,,,,,,
466,,,,clay etc. ),,,,,,,,
467,,,8109,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite,",,,,,,,,
468,,,,"dunite, diaspore magnesite, diaspore, magnesite)",,,,,,,,
469,89,,,mining and quarrying n.e.c.,,,,,,,,
470,,891,,mining of chemical and fertilizer minerals,,,,,,,,
471,,,,This class excludes:,,,,,,,,
472,,,,"- extraction of salt, see 0893",,,,,,,,
473,,,,"- roasting of iron pyrites, see 2011",,,,,,,,
474,,,,"- manufacture of synthetic fertilizers and nitrogen compounds, see 2012",,,,,,,,
475,,,8911,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for,,,,,,,,
476,,,,sulphur,,,,,,,,
477,,,8912,Mining of natural phosphates including apatite minerals,,,,,,,,
478,,,8913,Mining of earth colours (ochre including red oxide).,,,,,,,,
