group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
,,,"- operation of tree nurseries, see 0130",,,,,,,,
,,,"- gathering of wild growing non-wood forest products, see 0230",,,,,,,,
,,,"- production of wood chips and particles, see 1610",,,,,,,,
,,2101,"Growing of standing timber (planting, replanting, transplanting, thinning",,,,,,,,
,,,and conserving of forests and timber tracts),,,,,,,,
,,2102,Operation of forest tree nurseries,,,,,,,,
,,2109,"Other foresty activities including growing of pulpwood,firewood etc",,,,,,,,
22,,,logging,,,,,,,,
,220,,logging,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of Christmas trees, see 0129",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"and conserving of forests and timber tracts, see 0210",,,,,,,,
,,,"- gathering of wild growing non-wood forest products, see 0230",,,,,,,,
,,,"- production of wood chips and particles, see 1610",,,,,,,,
,,,"- production of charcoal through distillation of wood, see 2011",,,,,,,,
,,2201, Gathering and preparation of fire wood,,,,,,,,
,,2202, Logging camps and loggers primarily engaged in felling timber and,,,,,,,,
,,,"producing wood in the rough such as pitprops, split poles, pickets, hewn",,,,,,,,
,,,railway ties,,,,,,,,
,,2203, Production of charcoal in the forest (using traditional methods),,,,,,,,
,,2209," Other logging activities, n.e.c.",,,,,,,,
23,,,Gathering of non-wood forest products,,,,,,,,
,230,,Gathering of non-wood forest products,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,- managed production of any of these products (except growing of cork,,,,,,,,
,,,"trees), see division 01",,,,,,,,
,,,"- growing of mushrooms or truffles, see 0113",,,,,,,,
,,,"- growing of berries or nuts, see 0125",,,,,,,,
,,,"- gathering of fire wood, see 0220",,,,,,,,
,,,"- production of wood chips, see 1610",,,,,,,,
,,2301, Gathering of tendu leaves,,,,,,,,
,,2302," Gathering of lac, resins and rubber-like gums",,,,,,,,
,,2303," Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams,",,,,,,,,
,,,"vegetable hair, eelgrass, mosses, lichens",,,,,,,,
,,2309," Gathering of non-wood forest products, n.e.c.",,,,,,,,
24,,,Support services to forestry,,,,,,,,
,240,,Support services to forestry,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- operation of forest tree nurseries, see 0210",,,,,,,,
,,2401," Forestry service activities (forest management consulting services, forestry",,,,,,,,
,,,"inventories, timber evaluation, forest pest control)",,,,,,,,
,,2402,Logging service activities such as transport of logs within the forest,,,,,,,,
31,,,Fishing,,,,,,,,
,311,,Marine fishing,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,170,170,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"ashore, see 1020",,,,,,,,
,,,- rental of pleasure boats with crew for sea and coastal water transport (e.g.,,,,,,,,
,,,"for fishing cruises), see 5011",,,,,,,,
,,,"- fishing inspection, protection and patrol services, see 8423",,,,,,,,
,,,"- fishing practiced for sport or recreation and related services, see 9319",,,,,,,,
,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
,,3111,Fishing on a commercial basis including taking of marine crustaceans and,,,,,,,,
,,,molluscs in ocean and coastal waters,,,,,,,,
,,3112,"Gathering of other marine organisms and materials such as natural pearls,",,,,,,,,
,,,"sponges, coral and algae",,,,,,,,
,,3113,Activities of vessels engaged in fishing and in processing and preserving of,,,,,,,,
,,,fish,,,,,,,,
,312,,Freash water fishing,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- processing of fish, crustaceans and molluscs, see 1020",,,,,,,,
,,,"- fishing inspection, protection and patrol services, see 8423",,,,,,,,
,,,"- fishing practiced for sport or recreation and related services, see 9319",,,,,,,,
,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
,,3121,Fishing and taking of freshwater crustaceans and molluscs on a commercial,,,,,,,,
,,,basis in inland waters,,,,,,,,
,,3122,Taking and gathering of freshwater aquatic animals,,,,,,,,
32,,,aquaculture,,,,,,,,
,321,,marine aquaculture,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- frog farming, see 0322",,,,,,,,
,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
,,3211,Fish farming in sea water including farming of marine ornamental fish,,,,,,,,
,,3212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals",,,,,,,,
,,,in sea water,,,,,,,,
,,3213,Growing of edible seaweeds,,,,,,,,
,,3214,Aquaculture activities in brackish waters and in salt water filled tanks or,,,,,,,,
,,,reservoirs,,,,,,,,
,,3215,Operation of fish hatcheries (marine),,,,,,,,
,,3219,"Other marine aquaculture, n.e.c.",,,,,,,,
,322,,Freshwater aquaculture,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- aquaculture activities in salt water filled tanks and reservoirs, see 0321",,,,,,,,
,,,"- operation of sport fishing preserves, see 9319",,,,,,,,
,,3221,Fish farming in freshwater including farming of freshwater ornamental fish,,,,,,,,
,,3222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic",,,,,,,,
,,,animals,,,,,,,,
,,3223,Operation of fish hatcheries (fresh-water),,,,,,,,
,,3229,"Other freshwater aquaculture ctivities, n.e.c.",,,,,,,,
,,DiviSion 05 : mininG oF Coal anD liGnite,,,,,,,,,
51,,,mining of hard coal,,,,,,,,
,510,,mining of hard coal,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- lignite mining, see 0520",,,,,,,,
,,,"- peat digging and agglomeration of peat, see 0892",,,,,,,,
,,,"- test drilling for coal mining, see 0990",,,,,,,,
,,,"- support activities for hard coal mining, see 0990",,,,,,,,
,,,"- coke ovens producing solid fuels, see 1910",,,,,,,,
,,,"- manufacture of hard coal briquettes, see 1920",,,,,,,,
,,,#NAME?,,,,,,,,
,,4312,4312,,,,,,,,
,,5101,Opencast mining of hard coal,,,,,,,,
,,5102,Belowground mining of hard coal,,,,,,,,
,,5103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal",,,,,,,,
,,5109,Other operations relating to mining and agglomeration of hard coal,,,,,,,,
52,,,mining of lignite,,,,,,,,
,520,,mining of lignite,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- hard coal mining, see 0510",,,,,,,,
,,,"- peat digging, see 0892",,,,,,,,
,,,"- test drilling for coal mining, see 0990",,,,,,,,
,,,"- support activities for lignite mining, see 0990",,,,,,,,
,,,"- manufacture of lignite fuel briquettes, see 1920",,,,,,,,
,,,#NAME?,,,,,,,,
,,4312,4312,,,,,,,,
,,5201,Opencast mining of lignite (brown coal),,,,,,,,
,,5202,Belowground mining of lignite (brown coal),,,,,,,,
,,5203,"Washing, dehydrating, pulverizing, compressing of lignite",,,,,,,,
,,5209,Other operations relating to mining and agglomeration of lignite,,,,,,,,
,,Division 06 : extraction of crude petroleum and natural gas,,,,,,,,,
61,,,extraction of crude petroleum,,,,,,,,
,610,,extraction of crude petroleum,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- support activities for oil and gas extraction, see 0910",,,,,,,,
,,,"- oil and gas exploration, see 0910",,,,,,,,
,,,"- manufacture of refined petroleum products, see 1920",,,,,,,,
,,,#NAME?,,,,,,,,
,,1920,1920,,,,,,,,
,,,"- operation of pipelines, see 4930",,,,,,,,
,,6101,Off shore extraction of crude petroleum,,,,,,,,
,,6102,On shore extraction of crude petroleum,,,,,,,,
62,,,extraction of natural gas,,,,,,,,
,620,,extraction of natural gas,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- support activities for oil and gas extraction, see 0910",,,,,,,,
,,,"- oil and gas exploration, see 0910",,,,,,,,
,,,#NAME?,,,,,,,,
,,1920,1920,,,,,,,,
,,,"- manufacture of industrial gases, see 2011",,,,,,,,
,,,"- operation of pipelines, see 4930",,,,,,,,
,,6201,Offshore Extraction of natural gas,,,,,,,,
,,6202,On shore Extraction of natural gas,,,,,,,,
71,,,mining of iron ores,,,,,,,,
,710,,mining of iron ores,,,,,,,,
,,,"This class includes mining of ores valued chiefly for iron content, beneficiation",,,,,,,,
,,,and agglomeration of iron ores,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,891,891,,,,,,,,
,,7100,Mining of iron ores,,,,,,,,
72,,,mining of non-ferrous metal ores,,,,,,,,
,721,,mining of uranium and thorium ores,,,,,,,,
,,,This class includes mining of ores chiefly valued for uranium and thorium,,,,,,,,
,,,"content (pitchblende etc.), concentration of such ores, production of",,,,,,,,
,,,yellowcake,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- enrichment of uranium and thorium ores, see 2011",,,,,,,,
,,,"- production of uranium metal from pitchblende or other ores, see 2420",,,,,,,,
,,,"- smelting and refining of uranium, see 2420",,,,,,,,
,,7210,Mining of uranium and thorium ores,,,,,,,,
,729,,mining of other non-ferrous metal ores,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- mining and preparation of uranium and thorium ores, see 0721",,,,,,,,
,,,#NAME?,,,,,,,,
,,2420,2420,,,,,,,,
,,7291,Mining of copper ore,,,,,,,,
,,7292,Mining of aluminium ore (bauxite),,,,,,,,
,,7293,Mining of manganese ore,,,,,,,,
,,7294,Mining of chromium ore,,,,,,,,
,,7295,"Mining of precious metal ore (gold, silver)",,,,,,,,
,,7296,Mining of lead and znic ore,,,,,,,,
,,7299,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and",,,,,,,,
,,,"rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores;",,,,,,,,
,,,"and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous",,,,,,,,
,,,metal ores],,,,,,,,
,,DiviSion 08 : other mininG anD quarryinG,,,,,,,,,
81,,,"quarrying of stone, sand and clay",,,,,,,,
,810,,"quarrying of stone, sand and clay",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- mining of bituminous sand, see 0610",,,,,,,,
,,,"- mining of chemical and fertilizer minerals, see 0891",,,,,,,,
,,,"- production of calcined dolomite, see 2394",,,,,,,,
,,,"- cutting, shaping and finishing of stone outside quarries, see 2396",,,,,,,,
,,8101,Quarrying of marble,,,,,,,,
,,8102,Quarrying of granite,,,,,,,,
,,8103,Quarrying of slate and building and monumental stone other than marble,,,,,,,,
,,,and granite,,,,,,,,
,,8104,Mining of dolomite,,,,,,,,
,,8105,Mining of gypsum including selenite,,,,,,,,
,,8106,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing",,,,,,,,
,,,"and breaking of stone for use as a flux or raw material in lime or cement,",,,,,,,,
,,,"manufacture or as building material, road metal or ballast and other materials",,,,,,,,
,,,for construction,,,,,,,,
,,8107,"Mining/quarrying of limestone, limeshell, â€˜kankarâ€™ and other calcareous",,,,,,,,
,,,"minerals including calcite, chalk and shale",,,,,,,,
,,8108,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fullerâ€™s earth, fire",,,,,,,,
,,,clay etc. ),,,,,,,,
,,8109,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite,",,,,,,,,
,,,"dunite, diaspore magnesite, diaspore, magnesite)",,,,,,,,
89,,,mining and quarrying n.e.c.,,,,,,,,
,891,,mining of chemical and fertilizer minerals,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- extraction of salt, see 0893",,,,,,,,
,,,"- roasting of iron pyrites, see 2011",,,,,,,,
,,,"- manufacture of synthetic fertilizers and nitrogen compounds, see 2012",,,,,,,,
,,8911,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for,,,,,,,,
,,,sulphur,,,,,,,,
,,8912,Mining of natural phosphates including apatite minerals,,,,,,,,
,,8913,Mining of earth colours (ochre including red oxide).,,,,,,,,
,,8914,Mining of fluorspar,,,,,,,,
,,8915,Mining of barytes,,,,,,,,
,,8919,Mining of potash bearing salts/minerals; borate minerals and other fertiliser,,,,,,,,
,,,and chemical minerals n.e.c.,,,,,,,,
,892,,extraction and agglomeration of peat,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- service activities incidental to peat mining, see 0990",,,,,,,,
,,,"- manufacture of articles of peat, see 2399",,,,,,,,
,,8920,Extraction and agglomeration of peat,,,,,,,,
,893,,extraction of salt,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- processing of salt into food-grade salt, e.g. iodized salt, see 1079",,,,,,,,
,,,"- potable water production by evaporation of saline water, see 3600",,,,,,,,
,,8931,"Salt mining, quarrying, screening etc.",,,,,,,,
,,8932,Salt production by evaporation of sea water or other saline waters,,,,,,,,
,899,,other mining and quarrying n.e.c.,,,,,,,,
,,8991,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/",,,,,,,,
,,,saphire etc.,,,,,,,,
,,8992,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum,",,,,,,,,
,,,garnet and other natural abrasives),,,,,,,,
,,8993,Mining of mica,,,,,,,,
,,8994,Mining of natural graphite,,,,,,,,
,,8995,Mining of asbestos,,,,,,,,
,,8996,"Mining of vermiculite, perlite and chlorites",,,,,,,,
,,8997,"Mining of felspar and silica minerals including quartz, quartzite and fuch.",,,,,,,,
,,,Quartzite,,,,,,,,
,,8998,Mining of talc/ steatite,,,,,,,,
,,8999,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and",,,,,,,,
,,,other natural fluxes; natural asphalt or bitumen and other mining n.e.c.,,,,,,,,
,,DiviSion 09 : mininG Support ServiCe aCtivitieS,,,,,,,,,
91,,,Support activities for petroleum and natural gas mining,,,,,,,,
,910,,Support activities for petroleum and natural gas mining,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- service activities performed by operators of oil or gas fields, see 0610,",,,,,,,,
,,620,620,,,,,,,,
,,,"- specialized repair of mining machinery, see 3312",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"off the mine site, see 5221",,,,,,,,
